1|1
1|2
2|3
3|4
4|4
4|5
5|6
6|4
6|7
7|4
7|8
8|9
9|2
10|10
10|11
10|12
11|10
11|13
11|14
11|15
12|16
13|4
13|7
14|17
14|11
14|18
14|12
14|19
15|20
16|21
17|9
18|22
18|23
18|24
19|25
19|26
20|27
20|28
20|29
20|30
20|31
20|32
20|33
20|34
21|4
22|3
22|35
23|36
23|37
23|38
23|39
24|1
25|4
26|17
26|29
27|40
28|41
29|42
30|43
30|6
30|44
31|45
32|46
33|4
34|3
35|47
36|3
37|1
37|48
38|49
39|43
39|50
40|4
40|7
41|4
41|7
42|51
43|52
43|53
43|54
44|43
44|13
44|17
44|11
44|18
44|19
45|4
45|14
46|52
46|55
47|43
47|56
47|57
48|58
49|59
49|60
50|61
51|4
52|62
53|43
53|17
53|11
53|18
53|63
53|19
53|64
53|65
54|66
54|67
55|68
55|69
56|70
57|71
57|72
57|73
58|74
59|75
60|76
61|77
62|27
62|78
63|79
64|80
65|81
66|82
67|13
67|14
68|83
69|9
70|84
70|85
70|86
71|43
71|87
72|27
72|82
73|27
73|82
74|4
75|88
76|89
77|10
77|90
78|7
78|91
79|68
79|69
79|92
79|93
79|94
80|95
81|1
82|57
83|68
83|69
83|92
83|96
84|25
84|76
85|97
85|98
85|99
86|47
87|100
88|4
89|101
90|56
90|102
91|45
92|10
92|13
92|14
92|11
93|4
93|8
93|103
93|104
94|105
94|42
94|106
95|100
96|45
97|4
97|8
98|105
98|42
98|106
99|107
99|84
99|85
100|101
100|108
100|109
